dom-perignon-champagne-brut-dom-perignon-millesime-2006-avec-etui	auc	DOM PÉRIGNON Champagne Brut Dom Pérignon Millésime 2006 avec étui	Bouteille / 75cl	149.0		https://www.auchan.fr/dom-perignon-champagne-brut-dom-perignon-millesime-2006-avec-etui/p-c897675		Champagne	Champagne	2006	Blanc	75 CL	https://media1.auchan.fr/images/he0/h57/12847009759262.jpg	
ondas-del-alma-do-monterei-espagne	auc	Ondas Del Alma Do Monterei Espagne	Bouteille / 75cl	13.57		https://www.auchan.fr/ondas-del-alma-do-monterei-espagne/p-c998596		Espagne		2015	Rouge	75 CL	https://media1.auchan.fr/images/h27/h50/12880214786078.jpg	
champagne-bollinger-la-grande-annee-champagne-brut-2007	auc	Champagne Bollinger La Grande Année Champagne Brut 2007	Bouteille / 75cl	105.9		https://www.auchan.fr/champagne-bollinger-la-grande-annee-champagne-brut-2007/p-c1025984		Champagne	Champagne	2007	Blanc	75 CL	https://media1.auchan.fr/_ui/v1466_124a5a3a91a9/mobile/images/missing-product-468x468.jpg	
saumur-brut-grande-cuvee-blanc	auc	Saumur Brut Grande Cuvée Blanc	Bouteille / 75cl	9.29		https://www.auchan.fr/saumur-brut-grande-cuvee-blanc/p-c961149		Val de Loire	Saumur		Blanc	75 CL	https://media1.auchan.fr/_ui/v1466_124a5a3a91a9/mobile/images/missing-product-468x468.jpg	
champagne-heidsieck-rose-reserve	auc	Champagne Heidsieck Rosé  réserve	Bouteille / 75cl	36.0		https://www.auchan.fr/champagne-heidsieck-rose-reserve/p-c396306					#	#	https://media1.auchan.fr/images/h26/h1d/12797133619230.jpg	
veuve-clicquot-champagne-brut-veuve-clicquot-carte-jaune	auc	VEUVE CLICQUOT Champagne Brut Veuve Clicquot Carte Jaune	Bouteille / 75cl	37.9		https://www.auchan.fr/veuve-clicquot-champagne-brut-veuve-clicquot-carte-jaune/p-c394045		Champagne	Champagne		Blanc	75 CL	https://media1.auchan.fr/images/h60/h24/12609081638942.jpg	
baron-fuente-champagne-brut-baron-fuente-galipette-bio	auc	BARON FUENTE Champagne Brut Baron Fuenté "Galipette" Bio	Bouteille / 75cl	27.9		https://www.auchan.fr/baron-fuente-champagne-brut-baron-fuente-galipette-bio/p-c959460		Champagne			#	75 CL	https://media1.auchan.fr/images/h54/h31/11634562039838.jpg	
domaine-de-l-a-castillon-cotes-de-bordeaux-rouge-2011	auc	Domaine de l'A Castillon Côtes de Bordeaux Rouge 2011	Bouteille / 75cl	26.3		https://www.auchan.fr/domaine-de-l-a-castillon-cotes-de-bordeaux-rouge-2011/p-c868388		Bordeaux	Côtes de Castillon	2011	Rouge	75 CL	https://media1.auchan.fr/images/h6b/h51/12879481929758.jpg	
moet-et-chandon-champagne-moet-et-chandon-nectar-imperial-75cl	auc	MOËT ET CHANDON Champagne Moët et Chandon Nectar Impérial 75cl	Bouteille / 75cl	41.9		https://www.auchan.fr/moet-et-chandon-champagne-moet-et-chandon-nectar-imperial-75cl/p-c982036		Champagne	Champagne		Blanc	75 CL	https://media1.auchan.fr/images/h4b/h4d/12847637626910.jpg	
mumm-champagne-brut-mumm-cordon-rouge	auc	MUMM Champagne Brut Mumm Cordon Rouge	Bouteille / 75cl	24.9		https://www.auchan.fr/mumm-champagne-brut-mumm-cordon-rouge/p-c395487		Champagne	Champagne		Blanc	75 CL	https://media1.auchan.fr/images/h17/hb1/12884330479646.jpg	
